Project,2025-03-14T00:00:00.000Z,2025-03-15T00:00:00.000Z,2025-03-16T00:00:00.000Z,2025-03-17T00:00:00.000Z,2025-03-18T00:00:00.000Z,2025-03-19T00:00:00.000Z,2025-03-20T00:00:00.000Z
(No Project),3186.49055,3090.96916,3109.33092,3168.28087,3235.01154,3225.86891,4408.89592
katalog,0.00357,0.00353,0.00356,0.00353,0.00338,0.0031,0.00309
metric-snapshot-store,1.57562,1.61851,1.50331,1.78347,1.65943,1.98333,1.58047
krp,14.18585,14.29179,14.38425,14.55055,14.85617,15.03578,15.12026
alfred-test-server1,0.00245,0.00244,0.00245,0.00244,0.00247,0.00245,0.00245
karrot-checkin,343.52576,343.55313,343.93287,343.57637,343.22262,343.29648,343.21974
business-crm,40.51757,40.19189,40.22104,40.55827,40.22499,40.23403,40.18183
business-finance,0.06457,0.06457,0.06456,0.06458,0.06459,0.06456,0.06456
golive,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
community,660.88374,649.63033,667.92077,652.84606,665.71072,650.30848,651.37315
neighbor-profile,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114
contentbridge-user,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407,0.00407
business-auth,64.71593,64.69728,64.69814,64.70363,64.70682,64.71755,64.69563
karrotmapv2,0.20225,0.20225,0.20225,0.20225,0.20225,0.20225,0.20225
business-center-app,31.94577,31.89131,31.89433,31.9667,32.07124,31.99381,31.95715
business-livesale,6.20415,6.21236,6.2066,6.20563,6.20622,6.20767,6.20179
lns,20.73787,20.70372,20.70065,20.72837,20.69695,20.70604,20.70217
karrotmap,41.47235,41.4723,41.4723,41.47231,41.4723,41.47233,41.47231
search-annotator,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006,0.00006
karrotaudit,276.12919,276.12318,276.12787,276.12565,276.12688,276.12343,276.12399
h3-service,22.51245,22.51245,22.51245,22.51244,22.51245,22.51245,22.51246
search-center,0.05761,0.05761,0.05761,0.05761,0.05761,0.05761,0.05761
karrot-cs,725.08126,729.40817,728.71825,727.33176,725.53747,721.06093,733.70381
search-webview,354.64809,303.99513,279.5416,363.4949,423.41767,369.87233,387.9594
search-lambda,36.35623,36.33744,36.35071,36.33616,36.35384,36.33647,36.35541
search-indexer,141.24164,134.54087,134.07847,139.37018,134.34881,140.5075,135.76317
search-mwaa,49.18511,49.17888,49.17838,49.15921,49.17512,49.1873,49.18044
search-server,42.47421,42.46109,42.46558,42.46295,42.46513,42.46929,42.46726
search-statistics,0.00043,0.00203,0.00203,0.00052,0.00406,0.00203,0.00203
search-vertical,24.768,24.768,24.768,24.768,24.768,24.768,24.768
ml-admin,4.60983,4.60983,4.60983,4.60983,4.60983,4.60983,4.60983
ml-daangn-ml,159.95358,133.80135,147.86669,133.58384,127.9826,96.82459,135.84729
ml-monitoring,0.00177,0.00178,0.00177,0.00178,0.00178,0.00178,0.00178
rocket-chat,1986.86903,1929.48145,2016.09266,2025.73035,2014.29065,1990.6155,1973.85295
infra-admin,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053,0.00053
malta,0.0965,0.0965,0.0965,0.0965,0.0965,0.0965,0.0965
karrot-dsp,205.72082,205.10093,204.54064,205.70661,206.21271,206.59754,205.07083
kotisaari,802.94611,794.1278,794.4117,805.93261,805.22763,805.87502,803.76569
ads-dmp,477.26372,463.61274,468.94665,477.74129,457.00281,452.71224,450.0105
ads-serving,1029.14877,1036.05682,1035.82682,1040.04269,1034.70573,1028.09878,1028.40217
ads-account,17.93122,17.33514,17.46511,18.22316,17.45706,17.47143,17.52098
kotisaari-finance,220.58651,215.78721,219.00257,221.41649,218.95379,218.57407,220.74145
nearby,32.00635,32.00963,32.01064,32.00474,32.01131,32.01332,32.00807
mini,0.40077,0.40069,0.40066,0.4008,0.40071,0.40073,0.40073
jobs,371.6551,358.62233,365.1976,378.92106,383.06396,380.43435,376.92618
gig-delivery,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156,0.00156
realty,124.69889,124.72902,124.93429,124.85299,125.01051,124.53181,125.23119
car,193.91551,192.75151,192.8169,195.04852,194.33831,193.59726,193.84118
poi,1.73071,1.72906,1.73043,1.73061,1.72906,1.73002,1.72964
business-account-worker,8.51741,8.51741,8.51741,8.51741,8.51741,8.51741,8.51741
business-feed-admin,49.66087,55.89716,52.77465,53.55418,57.28091,47.05865,47.99801
business-feed,464.08445,457.09734,460.79684,461.1578,457.86327,472.49428,468.24549
business-platform-admin,3.60451,3.60273,3.60273,3.60457,3.60281,3.60451,3.60292
business-post,201.91995,197.64422,198.5929,199.92923,200.91732,201.06531,199.38825
business-recommend,0.08228,0.08228,0.08228,0.08228,0.08228,0.08228,0.08228
capri,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201
commerce-coupon,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768,0.01768
webapp,3767.05104,3765.99289,3781.8502,3837.95202,3873.62337,3893.43123,3909.43838
sre-test-server,2.496,2.496,2.496,2.496,2.496,2.496,2.496
kontrol,10.08239,10.12804,10.13691,10.21351,10.25044,10.26459,10.25509
argocd,0.00123,0.00274,0.00094,0.00275,0.00456,0.00096,0.00095
addon-aws-ebs-csi-driver,0.20835,0.20835,0.20835,0.20835,0.20835,0.20835,0.20835
addon-monitoring,27.88989,26.8675,26.78935,26.86196,27.72875,27.99183,27.52312
karrotauth,96.83508,96.82201,96.80612,96.8265,96.82883,96.83619,96.83252
big-picture,14.22904,14.56036,15.05476,14.25203,14.3684,14.17857,14.18622
karrotwatch,156.56689,159.37481,163.26041,159.13352,157.95765,156.74671,158.16082
dngn-admin,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253,0.00253
feed-service,73.84849,73.8485,73.8485,73.84849,73.8485,73.8485,73.8485
feedmvp,6.408,6.408,6.408,6.408,6.408,6.408,6.408
karrot-storage,261.37387,253.88705,250.09322,252.3443,247.34677,250.77771,248.30439
safe-number-next,9.27146,7.36487,6.98276,9.50711,9.57736,8.87381,9.16671
experimentation-platform,28.6958,28.6783,28.69519,28.68941,28.69679,28.6936,28.68304
targeter,1.52825,1.52825,1.52825,1.52825,1.52825,1.52825,1.52825
datahub,54.60298,54.5286,54.52192,54.56526,54.59315,54.6202,54.58022
kost,0.54871,0.54234,0.4348,0.58706,0.60608,0.66579,0.61761
location,176.42702,176.41324,176.42698,176.38906,176.42252,176.38891,176.41331
shortcut,0.01627,0.01627,0.01627,0.01627,0.01627,0.01627,0.01627
notification,1462.4791,1482.55123,1522.18777,1457.42991,1462.84421,1462.34143,1459.17334
github-events,0.03112,0.0304,0.03291,0.03137,0.03417,0.03415,0.05175
poi-pipeline,0.00013,0.00011,0.00011,0.00013,0.00012,0.00013,0.00012
feedback,24.29432,24.30843,24.32603,24.33038,24.34328,24.32866,24.22518
feed-perf,6.25056,6.24756,6.25074,6.24826,6.2507,6.25285,6.25224
internal-go-crons,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
business-openapi-admin,0.02042,0.02042,0.02042,0.02042,0.02043,0.02043,0.02044
goslack,3.408,3.408,3.408,3.408,3.408,3.408,3.408
vinh,0.00027,0.00028,0.00028,0.00027,0.00028,0.00027,0.00029
karrot-business-account,0.02834,0.02834,0.02834,0.02834,0.02834,0.02834,0.02834
superset,10.8396,10.84575,10.83969,10.84033,10.84412,10.8478,10.83198
infra,0.92648,0.91922,0.91922,0.922,0.92718,0.91969,0.9197
querypie,7.30137,7.29602,7.29603,7.37383,7.29657,7.29628,7.29619
kafka-ui,402.12872,400.95775,401.05015,401.76487,401.79956,401.92058,401.54238
ads-message,8.04797,7.8993,7.85651,8.09005,8.20027,8.12974,8.05883
airflow,29.10405,27.81755,27.97807,29.42515,27.92486,27.97527,29.54017
awx,0.00201,0.002,0.002,0.02292,0.04044,0.00283,0.00283
log-service,1322.38382,1315.90816,1316.01585,1316.21468,1316.33579,1316.49856,1316.5431
simplefeedback,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035
identity,852.31095,849.75835,856.10719,853.54563,853.43747,850.51235,852.47977
dba-db,35.32497,35.71278,35.7315,38.14479,38.54472,38.5143,37.40233
haproxy,7662.19937,7883.7351,8627.8284,8301.79147,8255.49835,8015.30147,7471.84602
maps,0.59219,0.59219,0.59219,0.59219,0.59219,0.59219,0.59219
search-infrastructure,215.5293,215.46082,215.39983,215.49338,215.41808,215.43441,215.47025
infra-toolbox,0.00032,0.00032,0.00032,0.00032,0.00032,0.00032,0.00032
jampot,95.68609,95.4171,95.72767,95.90836,95.9415,96.87989,96.93294
ads-mediation,704.47764,777.84,841.58035,796.65216,717.95972,677.86434,688.91406
loki,206.05905,205.82317,206.44448,213.85922,212.71174,207.8354,208.35943
data-infrastructure,4760.16929,4862.42915,5022.39376,4932.59327,4940.31283,4980.61431,5057.19507
business-review,35.0548,35.0615,35.03091,35.06308,35.07381,35.05344,34.94288
Bench,5.65714,5.65522,5.65887,5.66133,5.67349,5.65784,5.66135
community-web-agora,240.75317,147.68549,145.75398,142.76082,195.71198,177.02366,140.18025
common-net,4486.45965,4319.54662,4498.76967,4781.63364,4806.29619,4721.58957,4547.85549
webview,0.05702,0.05702,0.05702,0.05703,0.05702,0.05539,0.05539
common-audit,9.98712,9.78427,9.85193,10.0829,10.43845,10.01694,10.10264
common-security,941.02297,807.55548,829.87455,884.77629,895.28528,932.17717,1026.69099
common-ml,0.17145,0.18601,0.19573,0.18794,0.1862,0.17941,0.18026
websites,0.00079,0.00159,0.00077,0.00075,0.00084,0.0012,0.00069
kontrol-argo-workflows,0.00192,0.00036,0.00014,0.00192,0.00014,0.00193,0.00192
community-web-profile,3.34433,2.93464,3.15282,3.13488,3.29188,3.56594,3.47279
hermes,36.91994,36.52736,36.4795,37.31557,37.43228,37.44552,37.36372
boundary,211.17626,211.18431,211.21868,211.15119,211.17851,211.1506,211.14827
business-content-curator,18.95281,18.50736,18.73799,18.64142,18.71742,18.82744,18.53453
collection-ranking-server,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013
feature-platform,2560.8957,2566.69158,2642.01718,2628.59528,2698.79673,2682.28832,2707.53564
feed-mixer,113.568,113.568,113.568,113.568,113.568,113.568,113.568
ads-conversion-tracker,170.21416,155.18267,160.70386,177.06299,180.64243,178.25409,183.20679
retool,15.93467,15.90532,15.89662,15.98866,15.94744,15.96318,15.95133
github-actions-self-hosted-runners,0.00001,0.00001,0.00001,0.00002,0.00002,0.00002,0.00002
big-picture-v2,3012.94171,3073.73248,3387.63453,3032.71908,3042.17577,2937.67144,2865.21595
karrot-pixel,19.438,18.3031,20.18512,21.33799,22.85128,20.93116,21.67588
ads-openapi,0.01055,0.01461,0.01238,0.01056,0.01421,0.01057,0.01239
cinema,17.55279,17.55983,17.55516,17.55861,17.55837,17.56234,17.55412
feed-entity,568.27536,575.50724,579.84588,579.75789,579.52121,579.15588,578.8557
prompt-studio,11.14519,10.54981,4.82339,3.53476,3.60365,2.55218,3.13008
model-registry,98.57844,100.00926,108.97209,128.32236,213.19298,181.2691,224.62235
karrot-sentinel,5.98011,5.98017,5.98019,5.98025,5.98033,5.98035,5.98039
karrotmarket-com,22.55195,17.3259,23.57028,23.44078,23.9326,27.49328,31.63014
business-content-curator-app,2.56204,2.56204,2.56204,2.56204,2.56204,2.56204,2.56204
calendar,6.41088,6.41088,6.41088,6.41088,6.41088,6.41088,6.41088
sre-asg-watch-lambda,1.26011,1.26011,1.26012,1.26011,1.26013,1.26009,1.26013
internal-chatgpt-api,0.0002,0.0002,0.0002,0.00022,0.00022,0.00021,0.0002
terraform-env-prod,0.0406,0.0406,0.0406,0.0406,0.0406,0.0406,0.0406
terraform-env-alpha,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203
boat,0.20302,0.20302,0.20302,0.20302,0.20302,0.20302,0.20302
chatgpt-slack,0.10151,0.10151,0.10151,0.10151,0.10151,0.10151,0.10151
blog,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
lottery-server,21.3449,21.39706,21.43997,21.37367,21.42942,21.43072,21.38491
maps-tile,58.86284,44.66262,34.37976,46.72761,38.81125,26.97684,42.49175
Kertify,23.48219,23.46598,23.44083,23.48918,23.47182,23.48005,23.48188
business-platform-web,414.26077,383.30921,398.68663,424.57263,422.09419,412.47983,416.03102
tensorflow-serving-test,31.3344,31.3344,31.3344,31.3344,31.3344,31.3344,31.3344
landkit,70.53131,58.0851,53.57985,46.65406,25.07487,21.60539,32.94851
rocket-chat-addon,0.00618,0.00617,0.00624,0.00628,0.00873,0.00784,0.00784
shortform,67.30717,67.30288,67.34646,67.28995,67.38748,67.30001,67.30941
kontrol-test-server,0.00129,0.00129,0.0007,0.00129,0.0019,0.00073,0.00071
Emperor,5.62935,5.6358,5.63107,5.62867,5.6291,5.63465,5.62466
search-places-ranking-server,20.592,20.592,20.592,20.592,20.592,20.592,20.592
local-profile,0.04497,0.04497,0.04497,0.04497,0.04497,0.04497,0.04497
sre-serverless,0.00691,0.00691,0.00691,0.00689,0.00691,0.00688,0.00692
warp,2557.62616,2420.87757,2490.71207,2429.36483,2558.31604,2462.95193,2569.96371
ashon-lab,4.51662,4.51624,4.51815,4.51993,4.51783,4.51633,4.51725
karrot-poi,92.68056,93.51134,92.50292,92.50662,92.50598,92.51433,95.43924
common-shared,78.39167,78.39983,77.26344,78.49272,68.01183,65.40868,66.66692
business-admin-hub,10.92947,10.69903,10.77989,11.01159,10.89511,10.833,10.98371
place-search-webview,0.00432,0.00252,0.00342,0.00432,0.00253,0.00274,0.00253
ads-ml,13.37334,13.40424,13.49162,13.43974,13.42554,13.39967,13.43394
local-map,12.96,12.96,12.96,12.96,12.96,12.96,12.96
user-location,28.2074,28.19647,28.20127,28.19785,28.20116,28.23332,28.20165
common-db,122.12783,121.40588,122.40361,124.57295,124.80657,122.15958,123.14757
big-stream,50.5678,50.62223,50.59699,50.6857,50.55825,50.70763,50.47153
inbox-webview,202.48711,207.22355,227.11526,213.71901,208.22976,205.16492,204.01561
dynamic-form,8.50892,8.51638,8.50967,8.50757,8.50865,8.51307,8.50459
kontrol-bot,0.00013,0.00012,0.00012,0.00013,0.00013,0.00013,0.00013
yearend,0.00669,0.00634,0.00634,0.00606,0.00607,0.00608,0.00606
golinks,0.6912,0.6912,0.6912,0.65379,0.6912,0.6912,0.67773
dynamic-form-admin,0.00016,0.00016,0.00016,0.00044,0.00018,0.00017,0.00017
community-web-group,0.5181,0.65955,0.99148,0.63264,0.58798,0.54023,0.50911
search-shortcut,0.576,0.576,0.576,0.576,0.576,0.576,0.576
kotisaari-frontend,3.84052,2.59821,3.05508,4.24542,4.17717,3.65227,3.47315
mlapps-biz-photo-tagging,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049
hashtag,156.2238,155.88465,156.20447,156.26143,156.35302,156.20047,156.05316
daangn-glossary,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098
karrotmetrics-explorer-prod,5.256,5.256,5.256,5.256,5.256,5.256,5.256
business-expert,21.10845,21.09344,21.19086,21.17818,21.17752,21.16761,21.14834
ads-catalog,62.08016,51.72545,50.9598,55.66313,51.20899,64.57356,52.19914
datahub-alpha,19.98405,19.98129,19.98248,19.98642,19.98387,19.98149,19.9882
search-action,89.99878,90.50606,90.83827,90.30604,90.26783,90.1173,89.86949
karrot-audit,236.50352,234.56215,238.73291,234.44711,234.42145,234.85346,234.37272
kontrol-github-app,0.00012,0.00013,0.00013,0.00021,0.00012,0.00014,0.00013
ads-operation-chat,0.132,0.12939,0.12937,0.13274,4.2607,5.74943,5.76513
sre-metric-bigquery,0.00013,0.00011,0.00011,0.00012,0.00012,0.00013,0.00012
recommend-key-value-serving,56.112,56.112,56.112,56.112,56.112,56.112,56.112
business-profile,320.45598,318.5363,319.70311,321.85507,321.92061,321.72404,321.34942
fleamarket-webviews,0.00197,0.0019,0.00136,0.00225,0.004,0.00578,0.00545
airflow-alpha,8.04475,7.57368,7.86342,7.59058,7.52402,8.1559,7.85915
hey-karrot,2.33254,2.32787,2.32588,2.32732,2.33168,2.00304,1.90576
stats-monitor,0.00014,0.00013,0.00013,0.00013,0.00013,0.00012,0.00013
Tim,0.46241,0.46241,0.46241,0.46241,0.4624,0.46241,0.46241
jobs-enterprise,0.00169,0.0002,0.00029,0.00227,0.00134,0.00133,0.00268
business-coupon,45.55996,45.5614,45.56368,45.56724,45.57424,45.58224,45.55845
business-reservation-mono,5.79311,5.79312,5.79311,5.79312,5.79317,5.7931,5.7931
sre-ansible,2.04694,2.04702,2.04714,2.05139,2.0525,2.05232,2.05237
business-local-ugc,45.53841,45.59877,45.3426,46.69143,48.36343,51.47997,46.27485
